time,open,high,low,close,55EMA,89EMA,200EMA,Volume
964749600,100,100,100,100,,,,4000
965008800,101.55000305,101.55000305,101.55000305,101.55000305,,,,10000
965181600,103.37999725,103.37999725,103.37999725,103.37999725,,,,300
965354400,105.19999695,105.19999695,105.19999695,105.19999695,,,,4000
965613600,106.91999817,106.91999817,106.91999817,106.91999817,,,,13000
965786400,108.63999939,108.63999939,108.63999939,108.63999939,,,,16000
965959200,110.36000061,110.36000061,110.36000061,110.36000061,,,,14000
966218400,112.08000183,112.08000183,112.08000183,112.08000183,,,,12000
966391200,113.80000305,113.80000305,113.80000305,113.80000305,,,,23000
966564000,115.51999664,115.51999664,115.51999664,115.51999664,,,,10000
966823200,117.23999786,117.23999786,117.23999786,117.23999786,,,,36000
966996000,118.95999908,118.95999908,118.95999908,118.95999908,,,,111000
967168800,118.83999634,118.83999634,118.83999634,118.83999634,,,,95000
967428000,117,117,117,117,,,,98000
967600800,115.15000153,115.15000153,115.15000153,115.15000153,,,,127000
967773600,113.37000275,113.37000275,113.37000275,113.37000275,,,,97000
968205600,112.51000214,112.51000214,112.51000214,112.51000214,,,,61000
968378400,112.38999939,112.38999939,112.38999939,112.38999939,,,,50000
968637600,114.11000061,114.11000061,114.11000061,114.11000061,,,,31000
968810400,116.08000183,116.08000183,116.08000183,116.08000183,,,,18000
968983200,118.04000092,118.04000092,118.04000092,118.04000092,,,,46000
969242400,118.19000244,118.19000244,118.19000244,118.19000244,,,,65000
969415200,118.20999908,118.20999908,118.20999908,118.20999908,,,,42000
969588000,118.76000214,118.76000214,118.76000214,118.76000214,,,,67000
969847200,118.98000336,118.98000336,118.98000336,118.98000336,,,,57000
970020000,119.69000244,119.69000244,119.69000244,119.69000244,,,,57000
970192800,120.70999908,120.70999908,120.70999908,120.70999908,,,,53000
970452000,120.91999817,120.91999817,120.91999817,120.91999817,,,,49000
970624800,121.13999939,121.13999939,121.13999939,121.13999939,,,,58000
970797600,122.20999908,122.20999908,122.20999908,122.20999908,,,,40000
971056800,124.33000183,124.33000183,124.33000183,124.33000183,,,,26000
971229600,126.44999695,126.44999695,126.44999695,126.44999695,,,,53000
971402400,128.57000732,128.57000732,128.57000732,128.57000732,,,,52000
971661600,130.71000671,130.71000671,130.71000671,130.71000671,,,,27000
971834400,132.8500061,132.8500061,132.8500061,132.8500061,,,,26000
972007200,135.03999329,135.03999329,135.03999329,135.03999329,,,,66000
972266400,136.55000305,136.55000305,136.55000305,136.55000305,,,,39000
972439200,137.08000183,137.08000183,137.08000183,137.08000183,,,,45000
972612000,139.57000732,139.57000732,139.57000732,139.57000732,,,,88000
972871200,140.83999634,140.83999634,140.83999634,140.83999634,,,,101000
973044000,143.33000183,143.33000183,143.33000183,143.33000183,,,,96000
973216800,145.83000183,145.83000183,145.83000183,145.83000183,,,,79000
973476000,148.57000732,148.57000732,148.57000732,148.57000732,,,,55000
973648800,151.32000732,151.32000732,151.32000732,151.32000732,,,,29000
973821600,154.08000183,154.08000183,154.08000183,154.08000183,,,,57000
974080800,156.83999634,156.83999634,156.83999634,156.83999634,,,,22000
974253600,159.6000061,159.6000061,159.6000061,159.6000061,,,,13000
974426400,162.36000061,162.36000061,162.36000061,162.36000061,,,,35000
974685600,165.69999695,165.69999695,165.69999695,165.69999695,,,,64000
974858400,165.52000427,165.52000427,165.52000427,165.52000427,,,,137000
975031200,166.16999817,166.16999817,166.16999817,166.16999817,,,,117000
975290400,165.6000061,165.6000061,165.6000061,165.6000061,,,,90000
975463200,168.72999573,168.72999573,168.72999573,168.72999573,,,,77000
975636000,171.86999512,171.86999512,171.86999512,171.86999512,,,,43000
975895200,175,175,175,175,130.22654626963637,,,29000
976068000,178.13000488,178.13000488,178.13000488,178.13000488,131.93738407714935,,,60000
976240800,181.25999451,181.25999451,181.25999451,181.25999451,133.6989058783226,,,188000
976500000,189.94000244,189.94000244,189.94000244,189.94000244,135.70751646981108,,,125000
976672800,184.47999573,184.47999573,184.47999573,184.47999573,137.44939072910356,,,106000
976845600,187.61999512,187.61999512,187.61999512,187.61999512,139.24119802877843,,,49000
977104800,191.11000061,191.11000061,191.11000061,191.11000061,141.09365526382206,,,82000
977277600,194.8500061,194.8500061,194.8500061,194.8500061,143.0135249365427,,,39000
977450400,198.58000183,198.58000183,198.58000183,198.58000183,144.99804196845187,,,61000
977709600,202.32000732,202.32000732,202.32000732,202.32000732,147.04525501672146,,,21000
977882400,203.08999634,203.08999634,203.08999634,203.08999634,149.04685292112427,,,41000
978055200,206.83000183,206.83000183,206.83000183,206.83000183,151.11053681072698,,,60000
978487200,210.55999756,210.55999756,210.55999756,210.55999756,153.23373183748674,,,44000
978660000,214.32000732,214.32000732,214.32000732,214.32000732,155.4153845332908,,,50000
978919200,218.11999512,218.11999512,218.11999512,218.11999512,157.65483491138755,,,72000
979092000,222.1499939,222.1499939,222.1499939,222.1499939,159.95823344669515,,,184000
979264800,225.66999817,225.66999817,225.66999817,225.66999817,162.30508218681317,,,224000
979524000,228.3500061,228.3500061,228.3500061,228.3500061,164.663829469427,,,123000
979696800,232.67999268,232.67999268,232.67999268,232.67999268,167.0929781555189,,,88000
979869600,236.97000122,236.97000122,236.97000122,236.97000122,169.5885861221075,,,43000
980733600,241.36000061,241.36000061,241.36000061,241.36000061,172.15185092524652,,,9000
980906400,245.80000305,245.80000305,245.80000305,245.80000305,174.78214207255914,,,7000
981079200,250.22999573,250.22999573,250.22999573,250.22999573,177.4767082746106,,,25000
981338400,254.96000671,254.96000671,254.96000671,254.96000671,180.24396893301736,,,3000
981511200,259.92999268,259.92999268,259.92999268,259.92999268,183.08989835255244,,,9000
981684000,260.1499939,260.1499939,260.1499939,260.1499939,185.84204462210414,,,315000
981943200,256.17999268,256.17999268,256.17999268,256.17999268,188.35411419560043,,,131000
982116000,252.21000671,252.21000671,252.21000671,252.21000671,190.6346817854004,,,78000
982288800,248.97999573,248.97999573,248.97999573,248.97999573,192.71844299770754,,,44000
982548000,245.99000549,245.99000549,245.99000549,245.99000549,194.6209988010037,,,35000
982720800,246.75,246.75,246.75,246.75,196.482748843825,,,240000
982893600,251.22000122,251.22000122,251.22000122,251.22000122,198.43765071440268,,,155000
983152800,255.61000061,255.61000061,255.61000061,255.61000061,200.47952035353114,,,97000
983325600,252.3999939,252.3999939,252.3999939,252.3999939,202.33382298019075,,,293000
983498400,253.63999939,253.63999939,253.63999939,253.63999939,204.16618642339822,166.79662957325843,,208000
983757600,250.72999573,250.72999573,250.72999573,250.72999573,205.82917961291972,168.6618154878527,,166000
983930400,248.05000305,248.05000305,248.05000305,248.05000305,207.33706616424402,170.4259974336782,,203000
984103200,252.61000061,252.61000061,252.61000061,252.61000061,208.95395668016388,172.25230861537423,,118000
984362400,255.99000549,255.99000549,255.99000549,255.99000549,210.63381556622946,174.11314632369925,,122000
984535200,257.70001221,257.70001221,257.70001221,257.70001221,212.31475116064985,175.97063223228372,,144000
