time,open,high,low,close,55EMA,89EMA,200EMA,Volume
1483408800,665.92,667.53,665.92,667.37,,,,0
1483410600,667.24,667.24,665.43,665.9,,,,0
1483412400,665.93,670.37,665.66,669.94,,,,0
1483414200,670.08,670.08,668.85,669.43,,,,0
1483416000,669.46,670.35,669.24,669.44,,,,0
1483417800,669.46,669.46,669.46,669.46,,,,0
1483423200,669.54,671.43,669.45,671.24,,,,0
1483425000,671.4,672.24,671.27,671.72,,,,0
1483426800,671.89,672.34,671.67,672.23,,,,0
1483428600,672.32,672.32,672.01,672.01,,,,0
1483495200,672.58,674.65,672.21,674.5,,,,0
1483497000,674.64,675.22,673.36,675.21,,,,0
1483498800,675.35,675.93,674.91,675.21,,,,0
1483500600,674.77,675.01,673.92,673.96,,,,0
1483502400,673.94,674.98,673.76,674.91,,,,0
1483504200,674.99,674.99,674.99,674.99,,,,0
1483509600,674.71,674.81,674.06,674.36,,,,0
1483511400,674.17,674.37,672.8,672.86,,,,0
1483513200,672.66,673.34,672.47,673.34,,,,0
1483515000,673.35,674.7,673.35,674.7,,,,0
1483581600,674.82,674.82,673.31,674.54,,,,0
1483583400,674.74,675.57,674.48,675.39,,,,0
1483585200,675.3,675.8,674.06,674.06,,,,0
1483587000,674.03,674.17,673.37,674.17,,,,0
1483588800,674.39,675.49,674.23,675.09,,,,0
1483590600,675.04,675.04,675.04,675.04,,,,0
1483596000,674.95,675.68,674.95,675.68,,,,0
1483597800,675.59,675.92,675.55,675.55,,,,0
1483599600,675.43,675.48,674.71,675.11,,,,0
1483601400,675.36,675.81,675.36,675.81,,,,0
1483668000,675.35,676.33,675.22,676.33,,,,0
1483669800,676.23,679.29,676.23,678.84,,,,0
1483671600,678.95,678.95,677.99,678.94,,,,0
1483673400,679.1,680.27,679,680.27,,,,0
1483675200,680.24,683.28,679.82,683.28,,,,0
1483677000,683.26,683.26,683.26,683.26,,,,0
1483682400,683.1,683.59,682.5,683.59,,,,0
1483684200,683.76,683.76,682.15,682.31,,,,0
1483686000,682.4,682.4,679.68,679.68,,,,0
1483687800,679.93,679.93,679.8,679.8,,,,0
1483927200,681.74,683.09,681.74,683.03,,,,0
1483929000,683.11,683.55,682.39,683.46,,,,0
1483930800,683.49,683.81,683.11,683.26,,,,0
1483932600,682.95,684.01,682.64,683.8,,,,0
1483934400,683.77,684.88,683.4,684.5,,,,0
1483936200,684.34,684.34,684.34,684.34,,,,0
1483941600,684.39,684.73,683.3,683.62,,,,0
1483943400,683.44,684.17,683.43,683.5,,,,0
1483945200,683.43,683.43,682.69,682.96,,,,0
1483947000,683.02,683.02,682.57,682.57,,,,0
1484013600,682.77,683.02,681.26,681.26,,,,0
1484015400,681.23,682.73,681.02,682.65,,,,0
1484017200,682.72,682.95,681.07,681.07,,,,0
1484019000,681.25,681.8,680.94,681.71,,,,0
1484020800,681.69,682.08,681.52,681.7,677.1445454545454,,,0
1484022600,681.72,681.73,681.72,681.73,677.3083116883116,,,0
1484028000,681.84,681.84,681.37,681.38,677.4537291280147,,,0
1484029800,681.34,681.61,681.08,681.24,677.5889530877286,,,0
1484031600,681.08,681.24,680.76,680.79,677.7032761917383,,,0
1484033400,681.06,681.07,681.05,681.07,677.8235163277476,,,0
1484100000,680.85,682.01,680.85,682.01,677.9730336017566,,,0
1484101800,682.16,684.61,681.76,683.13,678.1572109731225,,,0
1484103600,683.11,683.91,683.05,683.75,678.3569534383681,,,0
1484105400,683.69,683.75,683.06,683.57,678.5431336727121,,,0
1484107200,683.5,684.32,683.29,684.23,678.7462360415439,,,0
1484109000,684.37,684.38,684.37,684.38,678.947441897203,,,0
1484114400,684.47,684.53,683.88,684.53,679.1468189723029,,,0
1484116200,684.38,685.57,684.11,685.44,679.3715754375778,,,0
1484118000,685.35,686.35,685.29,686.29,679.6186620290929,,,0
1484119800,686.56,687.16,686.56,687.16,679.8879955280538,,,0
1484186400,688.71,688.99,688.12,688.32,680.189138544909,,,0
1484188200,688.34,688.34,686.32,687.18,680.4388121683052,,,0
1484190000,687.27,687.41,686.59,686.77,680.6649260194371,,,0
1484191800,686.83,687.61,686.48,687.61,680.9129643758857,,,0
1484193600,687.54,687.58,686.71,686.75,681.1214299338898,,,0
1484195400,686.99,686.99,686.99,686.99,681.3310217219652,,,0
1484200800,686.98,686.98,686.23,686.39,681.5116995176093,,,0
1484202600,686.2,686.97,685.59,686.97,681.7066388205518,,,0
1484204400,686.8,686.87,686.25,686.7,681.8849731483892,,,0
1484206200,686.57,686.96,686.57,686.96,682.0662241073753,,,0
1484272800,686.58,686.96,685.96,685.96,682.2052875321119,,,0
1484274600,686.04,687.59,686.03,687.59,682.3975986916794,,,0
1484276400,687.88,688.62,687.09,687.1,682.565541595548,,,0
1484278200,687.02,687.69,686.91,687.12,682.7282008242784,,,0
1484280000,687.09,687.58,686.75,687.58,682.9014793662684,,,0
1484281800,687.52,687.52,687.52,687.52,683.0664265317588,,,0
1484287200,687.18,687.34,686.93,686.93,683.2044112984817,,,0
1484289000,686.75,687.24,686.44,686.44,683.3199680378216,,,0
1484290800,686.39,686.39,685.3,685.79,683.4081834650423,680.2957303370787,,0
1484292600,685.95,685.95,685.06,685.06,683.4671769127193,680.4016029962547,,0
1484532000,684.62,684.77,684.34,684.42,683.5012063086937,680.4909007074491,,0
1484533800,684.48,684.48,681.26,681.43,683.4272346548117,680.5117695806169,,0
1484535600,681.49,681.89,681.13,681.14,683.3455477028542,680.5257302566032,,0
1484537400,680.9,680.9,678.69,678.9,683.186778142038,680.4896029175676,,0
1484539200,678.76,680.43,678.64,680.43,683.0883217798223,680.4882784082884,,0
1484541000,680.68,680.68,680.68,680.68,683.0023102876858,680.4925388881041,,0
1484546400,680.65,680.66,679.01,679.34,682.871513491697,680.4669269128129,,0
1484548200,679.31,679.7,678.92,679.18,682.7396737241364,680.4383285369727,,0
1484550000,678.94,679.45,677.85,677.88,682.5661139482744,680.3814767917066,,0
1484551800,677.9,677.94,677.9,677.94,682.4008955929788,680.3272217518909,,0
1484618400,678.83,680.84,678.83,680.84,682.345149321801,680.3386168240711,,0
1484620200,680.81,680.88,679.83,680.05,682.2631797031653,680.3322031168696,,0
1484622000,679.78,681.03,679.53,681.03,682.2191375709094,680.3477097142725,,0
1484623800,680.76,683.04,680.74,683.04,682.2484540862341,680.4075383872886,,0
1484625600,682.94,682.96,681.59,681.69,682.22850929744,680.4360375342377,,0
1484627400,681.63,681.66,681.63,681.66,682.20820539396,680.4632367001435,,0
1484632800,681.67,683.06,681.59,683.06,682.2386266298901,680.5209425512514,,0
1484634600,683.08,684.66,682.47,683.08,682.2686756788225,680.577810494557,,0
1484636400,683.25,684.73,683.12,684.73,682.3565801188646,680.6700813724557,,0
1484638200,684.55,684.71,684.55,684.71,682.4406308289051,680.7598573419567,,0
1484704800,683.74,684.97,683.74,684.97,682.5309654421585,680.853416067691,,0
1484706600,685.26,686.86,684.23,684.67,682.60735953351,680.9382290439645,,0
1484708400,684.37,686.48,684.37,686.36,682.7413824073133,681.0587128429875,,0
1484710200,686.52,686.68,686.29,686.61,682.8795473213378,681.1820747798099,,0
1484712000,686.49,688.07,686.49,686.88,683.0224206312901,681.3086953402586,,0
1484713800,686.97,686.97,686.97,686.97,683.163405608744,681.4345021104751,,0
1484719200,686.56,686.96,685.13,685.13,683.2336411227175,681.5166242857979,,0
1484721000,685.09,685.24,683.9,683.9,683.257439654049,681.569588190558,,0
1484722800,683.91,684.87,683.43,683.43,683.2636025235472,681.6109306752122,,0
1484724600,683.68,683.68,683.28,683.28,683.2641881477062,681.6480211046519,,0
1484791200,683.02,683.6,682.07,682.21,683.2265385710025,681.6605095245485,,0
1484793000,682.12,683.49,680.8,683.49,683.2359479077525,681.7011648684474,,0
1484794800,683.55,684.13,683.08,684.13,683.2678783396184,681.755138982482,,0
1484796600,684.06,684.19,683.39,683.4,683.2725969703463,681.7916914495379,,0
1484798400,683.27,683.57,682.98,682.98,683.2621470785482,681.8180983062148,,0
1484805600,683.08,683.1,682.51,682.76,683.2442132543143,681.8390294549656,,0
1484807400,682.75,683.61,682.75,683.31,683.246562780946,681.8717176892997,,0
1484809200,683.29,683.53,683.1,683.47,683.2545426816265,681.9072350739818,,0
1484811000,683.5,683.5,682.31,682.31,683.2208090144255,681.9161854056712,,0
1484877600,684.05,685.47,684.05,685.47,683.3011372639103,681.995159063323,,0
1484879400,685.54,686.6,685.39,685.46,683.3782395044849,682.0721555285825,,0
1484881200,685.54,686.05,685.22,685.96,683.4704452364675,682.1585520723918,,0
1484883000,685.88,685.91,685.38,685.88,683.5565007637365,682.2412509152275,,0
1484884800,685.65,686.07,685.42,686.05,683.6455543078888,682.325889783778,,0
1484886600,686.04,686.04,686.04,686.04,683.7310702254642,682.4084255663607,,0
1484892000,686.24,687.08,686.23,686.9,683.8442462888405,682.5082383315527,,0
1484893800,686.8,688.4,686.8,688.4,684.0069517785248,682.6391663686293,,0
1484895600,688.24,688.42,687.31,687.35,684.1263463578632,682.7438515604375,,0
1484897400,687.49,687.49,686.26,686.26,684.2025482736539,682.8219881924279,,0
1485136800,687.83,688.23,686.93,688.23,684.3463858353091,682.9421662325962,,0
1485138600,688.45,689.47,688.45,689.17,684.5186577697623,683.0805625385384,,0
1485140400,689.11,689.32,688.29,689.23,684.6869199922708,683.2172167043486,,0
1485142200,689.3,689.34,687.3,687.4,684.7838157068326,683.310167444252,,0
1485144000,687.38,687.42,686.46,686.46,684.8436794315885,683.3801637232687,,0
1485145800,687.35,687.35,687.35,687.35,684.9331908804603,683.4683823071961,,0
1485151200,687.16,688.42,686.69,687.95,685.040934063301,683.5679738114806,,0
1485153000,687.54,687.87,686.9,687.72,685.1366149896118,683.6602410601143,,0
1485154800,687.58,688.37,687.44,687.73,685.2292358828399,683.7506801476674,,0
1485156600,687.99,687.99,687.15,687.15,685.2978346013099,683.8262205888303,,0
1485223200,687.08,689.18,687.08,688.68,685.4186262226917,683.934082353523,,0
1485225000,688.93,690.22,688.53,690.22,685.5901038575956,684.0737694123336,,0
1485226800,690.35,691.28,689.94,691.28,685.7933144341101,684.2339078698373,,0
1485228600,691.35,691.35,690.58,690.97,685.9781960614633,684.3835988060631,,0
1485230400,691.08,691.09,690.49,690.85,686.1521890592683,684.5272966103728,,0
1485232200,691.02,691.03,691.02,691.03,686.3263965928659,684.6718011301423,,0
1485237600,691.15,691.31,690.88,690.88,686.4890252859778,684.809761105028,,0
