Date,Open,High,Low,Close,Volume,time
2000-07-28,100.0,100.0,100.0,100.0,4000,964749600
2000-07-31,101.55000305,101.55000305,101.55000305,101.55000305,10000,965008800
2000-08-02,103.37999725,103.37999725,103.37999725,103.37999725,300,965181600
2000-08-04,105.19999695,105.19999695,105.19999695,105.19999695,4000,965354400
2000-08-07,106.91999817,106.91999817,106.91999817,106.91999817,13000,965613600
2000-08-09,108.63999939,108.63999939,108.63999939,108.63999939,16000,965786400
2000-08-11,110.36000061,110.36000061,110.36000061,110.36000061,14000,965959200
2000-08-14,112.08000183,112.08000183,112.08000183,112.08000183,12000,966218400
2000-08-16,113.80000305,113.80000305,113.80000305,113.80000305,23000,966391200
2000-08-18,115.51999664,115.51999664,115.51999664,115.51999664,10000,966564000
2000-08-21,117.23999786,117.23999786,117.23999786,117.23999786,36000,966823200
2000-08-23,118.95999908,118.95999908,118.95999908,118.95999908,111000,966996000
2000-08-25,118.83999634,118.83999634,118.83999634,118.83999634,95000,967168800
2000-08-28,117.0,117.0,117.0,117.0,98000,967428000
2000-08-30,115.15000153,115.15000153,115.15000153,115.15000153,127000,967600800
2000-09-01,113.37000275,113.37000275,113.37000275,113.37000275,97000,967773600
2000-09-06,112.51000214,112.51000214,112.51000214,112.51000214,61000,968205600
2000-09-08,112.38999939,112.38999939,112.38999939,112.38999939,50000,968378400
2000-09-11,114.11000061,114.11000061,114.11000061,114.11000061,31000,968637600
2000-09-13,116.08000183,116.08000183,116.08000183,116.08000183,18000,968810400
2000-09-15,118.04000092,118.04000092,118.04000092,118.04000092,46000,968983200
2000-09-18,118.19000244,118.19000244,118.19000244,118.19000244,65000,969242400
2000-09-20,118.20999908,118.20999908,118.20999908,118.20999908,42000,969415200
2000-09-22,118.76000214,118.76000214,118.76000214,118.76000214,67000,969588000
2000-09-25,118.98000336,118.98000336,118.98000336,118.98000336,57000,969847200
2000-09-27,119.69000244,119.69000244,119.69000244,119.69000244,57000,970020000
2000-09-29,120.70999908,120.70999908,120.70999908,120.70999908,53000,970192800
2000-10-02,120.91999817,120.91999817,120.91999817,120.91999817,49000,970452000
2000-10-04,121.13999939,121.13999939,121.13999939,121.13999939,58000,970624800
2000-10-06,122.20999908,122.20999908,122.20999908,122.20999908,40000,970797600
2000-10-09,124.33000183,124.33000183,124.33000183,124.33000183,26000,971056800
2000-10-11,126.44999695,126.44999695,126.44999695,126.44999695,53000,971229600
2000-10-13,128.57000732,128.57000732,128.57000732,128.57000732,52000,971402400
2000-10-16,130.71000671,130.71000671,130.71000671,130.71000671,27000,971661600
2000-10-18,132.8500061,132.8500061,132.8500061,132.8500061,26000,971834400
2000-10-20,135.03999329,135.03999329,135.03999329,135.03999329,66000,972007200
2000-10-23,136.55000305,136.55000305,136.55000305,136.55000305,39000,972266400
