series,symbol,tf,n_ret,period,mean%,sd%,skew,exkurt,JB_p,level,returns,ACF1_r,ACF1_|r|,ACF1_r2,LB_r_p,LB_r2_p
VNINDEX_1D,VNINDEX,1D,6178,2000-07-28..2025-12-11,0.0458,1.4384,-0.419,3.581,0.0,NON-STATIONARY,STATIONARY,0.2366,0.4596,0.5089,1.5073167355312496e-97,0.0
VN30_1D,VN30,1D,3309,2012-09-10..2025-12-11,0.0435,1.1939,-0.812,4.752,0.0,NON-STATIONARY,STATIONARY,0.0411,0.195,0.181,0.011487249513175314,1.8082668906248602e-167
VN100_1D,VN100,1D,2962,2014-01-27..2025-12-11,0.0399,1.1911,-0.965,5.22,0.0,NON-STATIONARY,STATIONARY,0.0464,0.2336,0.2004,0.017020690879282176,3.477442804712348e-155
VNINDEX_M30,VNINDEX,M30,17747,2017-01-03..2025-12-11,-0.0008,0.2991,-0.254,10.846,0.0,NON-STATIONARY,STATIONARY,0.0532,0.1872,0.149,6.751870647153011e-19,0.0
VN30_M30,VN30,M30,17563,2017-01-03..2025-12-11,0.0005,0.3216,0.047,10.732,0.0,NON-STATIONARY,STATIONARY,0.0406,0.189,0.1583,6.722921227555778e-16,0.0
VN100_M30,VN100,M30,17714,2017-01-03..2025-12-11,-0.001,0.3153,-0.127,11.334,0.0,NON-STATIONARY,STATIONARY,0.055,0.1895,0.1501,3.1774445915570354e-22,0.0
VNINDEX_H1,VNINDEX,H1,9546,2012-02-24..2024-12-09,-0.0032,0.4073,-0.561,7.915,0.0,NON-STATIONARY,AMBIGUOUS,0.0065,0.1383,0.0893,4.915096212476031e-07,4.629662578219194e-133
VN30_H1,VN30,H1,9146,2012-09-10..2024-12-09,-0.0018,0.4216,-0.377,8.201,0.0,NON-STATIONARY,AMBIGUOUS,0.0132,0.1441,0.1049,3.561460371228669e-07,2.0263400525749717e-165
VN100_H1,VN100,H1,8126,2014-01-27..2024-12-09,-0.005,0.4219,-0.497,8.828,0.0,NON-STATIONARY,AMBIGUOUS,0.0163,0.1547,0.0982,1.1365101724569959e-07,3.73592657560948e-146
VNINDEX_H4,VNINDEX,H4,6377,2012-02-24..2024-12-09,0.0173,0.7993,-1.173,8.359,0.0,NON-STATIONARY,STATIONARY,0.0855,0.1581,0.0756,5.701711861069374e-23,8.010260914728041e-207
VN30_H4,VN30,H4,6105,2012-09-10..2024-12-09,0.0176,0.8199,-1.095,8.093,0.0,NON-STATIONARY,STATIONARY,0.0723,0.1632,0.0908,3.2672169456890034e-16,7.570600798167428e-214
VN100_H4,VN100,H4,5416,2014-01-27..2024-12-09,0.016,0.8224,-1.298,8.767,0.0,NON-STATIONARY,STATIONARY,0.0805,0.1827,0.0902,3.252845605228909e-17,4.1267377095578653e-181
USDVND_1D,USDVND,1D,6514,1997-08-20..2024-12-09,0.0119,0.3805,2.299,107.486,0.0,NON-STATIONARY,AMBIGUOUS,-0.3617,0.391,0.3307,2.0781379180575243e-185,3.209585416219482e-151
